root,indicative_present_2p_s,indicative_present_1p_s,indicative_present_1p_p,indicative_present_3p_s,indicative_present_3p_p,indicative_preterite_2p_s,indicative_preterite_1p_s,indicative_preterite_1p_p,indicative_preterite_3p_s,indicative_preterite_3p_p,indicative_imperfect_2p_s,indicative_imperfect_1p_s,indicative_imperfect_1p_p,indicative_imperfect_3p_s,indicative_imperfect_3p_p,indicative_conditional_2p_s,indicative_conditional_1p_s,indicative_conditional_1p_p,indicative_conditional_3p_s,indicative_conditional_3p_p,indicative_future_2p_s,indicative_future_1p_s,indicative_future_1p_p,indicative_future_3p_s,indicative_future_3p_p,perfect_present_2p_s,perfect_present_1p_s,perfect_present_1p_p,perfect_present_3p_s,perfect_present_3p_p,perfect_past_2p_s,perfect_past_1p_s,perfect_past_1p_p,perfect_past_3p_s,perfect_past_3p_p
regalar,regalas,regalo,regalamos,regala,regalan,regalaste,regalé,regalamos,regaló,regalaron,regalabas,regalaba,regalábamos,regalaba,regalaban,regalarías,regalaría,regalaríamos,regalaría,regalarían,regalarás,regalaré,regalaremos,regalará,regalarán,has regalado,he regalado,hemos regalado,ha regalado,han regalado,habías regalado,había regalado,habíamos regalado,había regalado,habían regalado
olvidar,olvidas,olvido,olvidamos,olvida,olvidan,olvidaste,olvidé,olvidamos,olvidó,olvidaron,olvidabas,olvidaba,olvidábamos,olvidaba,olvidaban,olvidarías,olvidaría,olvidaríamos,olvidaría,olvidarían,olvidarás,olvidaré,olvidaremos,olvidará,olvidarán,has olvidado,he olvidado,hemos olvidado,ha olvidado,han olvidado,habías olvidado,había olvidado,habíamos olvidado,había olvidado,habían olvidado
comenzar,comienzas,comienzo,comenzamos,comienza,comienzan,comenzaste,comencé,comenzamos,comenzó,comenzaron,comenzabas,comenzaba,comenzábamos,comenzaba,comenzaban,comenzarías,comenzaría,comenzaríamos,comenzaría,comenzarían,comenzarás,comenzaré,comenzaremos,comenzará,comenzarán,has comenzado,he comenzado,hemos comenzado,ha comenzado,han comenzado,habías comenzado,había comenzado,habíamos comenzado,había comenzado,habían comenzado
estudiar,estudias,estudio,estudiamos,estudia,estudian,estudiaste,estudié,estudiamos,estudió,estudiaron,estudiabas,estudiaba,estudiábamos,estudiaba,estudiaban,estudiarías,estudiaría,estudiaríamos,estudiaría,estudiarían,estudiarás,estudiaré,estudiaremos,estudiará,estudiarán,has estudiado,he estudiado,hemos estudiado,ha estudiado,han estudiado,habías estudiado,había estudiado,habíamos estudiado,había estudiado,habían estudiado
cepillar,cepillas,cepillo,cepillamos,cepilla,cepillan,cepillaste,cepillé,cepillamos,cepilló,cepillaron,cepillabas,cepillaba,cepillábamos,cepillaba,cepillaban,cepillarías,cepillaría,cepillaríamos,cepillaría,cepillarían,cepillarás,cepillaré,cepillaremos,cepillará,cepillarán,has cepillado,he cepillado,hemos cepillado,ha cepillado,han cepillado,habías cepillado,había cepillado,habíamos cepillado,había cepillado,habían cepillado
acostar,acostas,acosto,acostamos,acosta,acostan,acostaste,acosté,acostamos,acostó,acostaron,acostabas,acostaba,acostábamos,acostaba,acostaban,acostarías,acostaría,acostaríamos,acostaría,acostarían,acostarás,acostaré,acostaremos,acostará,acostarán,has acostado,he acostado,hemos acostado,ha acostado,han acostado,habías acostado,había acostado,habíamos acostado,había acostado,habían acostado
prestar,prestas,presto,prestamos,presta,prestan,prestaste,presté,prestamos,prestó,prestaron,prestabas,prestaba,prestábamos,prestaba,prestaban,prestarías,prestaría,prestaríamos,prestaría,prestarían,prestarás,prestaré,prestaremos,prestará,prestarán,has prestado,he prestado,hemos prestado,ha prestado,han prestado,habías prestado,había prestado,habíamos prestado,había prestado,habían prestado
saludar,saludas,saludo,saludamos,saluda,saludan,saludaste,saludé,saludamos,saludó,saludaron,saludabas,saludaba,saludábamos,saludaba,saludaban,saludarías,saludaría,saludaríamos,saludaría,saludarían,saludarás,saludaré,saludaremos,saludará,saludarán,has saludado,he saludado,hemos saludado,ha saludado,han saludado,habías saludado,había saludado,habíamos saludado,había saludado,habían saludado
comprar,compras,compro,compramos,compra,compran,compraste,compré,compramos,compró,compraron,comprabas,compraba,comprábamos,compraba,compraban,comprarías,compraría,compraríamos,compraría,comprarían,comprarás,compraré,compraremos,comprará,comprarán,has comprado,he comprado,hemos comprado,ha comprado,han comprado,habías comprado,había comprado,habíamos comprado,había comprado,habían comprado
tomar,tomas,tomo,tomamos,toma,toman,tomaste,tomé,tomamos,tomó,tomaron,tomabas,tomaba,tomábamos,tomaba,tomaban,tomarías,tomaría,tomaríamos,tomaría,tomarían,tomarás,tomaré,tomaremos,tomará,tomarán,has tomado,he tomado,hemos tomado,ha tomado,han tomado,habías tomado,había tomado,habíamos tomado,había tomado,habían tomado
